,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
939,십시일반,MBC,8,9C,11.0,13.8,0.0,0.0,0.0,0.0,23.717391304347824,24.73913043478261,0,"코메디,수사물",3.3,2020-07-22
940,사이코지만 괜찮아,tvN,16,24C,14.4,21.8,7.0,0.0,2.0,0.0,14.872549019607838,23.229411764705887,0,"로맨스,코메디",5.70625,2020-06-20
941,편의점 샛별이,SBS,16,21C,19.2,6.8,15.0,0.0,0.0,0.0,14.429411764705877,23.147058823529417,0,"로맨스,코메디",7.51875,2020-06-19
942,바람과 구름과 비,TV조선,21,24C,25.6,4.8,12.0,2.0,0.0,0.0,7.629577464788733,21.61408450704225,0,"사극,로맨스",4.814285714285715,2020-05-17
943,(아는 건 별로 없지만) 가족입니다,tvN,16,3C,21.4,25.8,0.0,0.0,2.0,9.0,7.313725490196077,22.672549019607846,0,"로맨스,가족",4.16875,2020-06-01
944,미쓰리는 알고 있다,MBC,4,9C,11.6,8.6,0.0,0.0,0.0,0.0,17.62222222222222,22.0,0,수사물,3.075,2020-07-08
945,저녁 같이 드실래요,MBC,32,3C,21.4,10.4,4.0,0.0,0.0,0.0,6.919607843137253,22.111764705882344,0,로맨스,3.9000000000000004,2020-05-25
946,오 마이 베이비,tvN,16,9C,24.0,17.2,14.0,0.0,0.0,0.0,4.6235294117647046,20.85098039215686,0,로맨스,1.95625,2020-05-13
947,꼰대인턴,MBC,24,9C,22.8,21.4,6.0,0.0,0.0,0.0,4.455813953488371,21.423255813953485,0,코메디,5.3,2020-05-20
948,야식남녀,JTBC,12,3C,19.4,13.0,5.0,0.0,2.0,0.0,5.02972972972973,22.08378378378378,0,"로맨스,코메디",0.7749999999999999,2020-05-25
949,번외수사,OCN,12,24C,19.0,18.4,1.0,8.0,2.0,2.0,3.3216216216216212,21.935135135135134,0,"수사물,액션",2.841666666666667,2020-05-23
950,쌍갑포차,JTBC,12,9C,21.4,17.4,11.0,0.0,0.0,0.0,3.324324324324324,21.289189189189187,0,코메디,2.9166666666666665,2020-05-20
951,영혼수선공,KBS2,32,9C,13.8,17.8,8.0,0.0,12.0,1.0,4.025490196078431,20.121568627450976,0,메디컬,2.4033333333333338,2020-05-06
952,굿캐스팅,SBS,16,3C,25.4,11.0,12.0,0.0,0.0,0.0,3.4568627450980394,19.14313725490196,0,"액션,코메디,로맨스",9.35625,2020-04-27
953,화양연화 - 삶이 꽃이 되는 순간,tvN,16,24C,13.0,13.6,12.0,0.0,0.0,0.0,3.4607843137254903,18.75098039215686,0,판타지,4.268749999999999,2020-04-25
954,더 킹 : 영원의 군주,SBS,16,21C,8.2,6.4,8.0,2.0,13.0,2.0,3.04561403508772,17.375438596491225,0,"판타지,로맨스",8.5125,2020-04-17
955,본 어게인,KBS2,32,3C,17.4,3.6,11.0,0.0,1.0,1.0,2.0921568627450977,17.309803921568623,0,로맨스,2.256666666666667,2020-04-20
956,슬기로운 의사생활,tvN,12,5C,10.6,13.6,8.0,0.0,0.0,0.0,2.003846153846154,12.805128205128202,0,"메디컬,로맨스",10.966666666666667,2020-03-12
957,루갈,OCN,16,24C,18.6,12.6,0.0,0.0,0.0,0.0,2.207843137254902,13.017647058823528,0,액션,2.24375,2020-03-28
958,부부의 세계,JTBC,16,21C,15.8,12.8,10.0,0.0,0.0,0.0,2.3176470588235296,12.862745098039213,0,로맨스,18.83125,2020-03-27
959,유별나! 문셰프,채널A,16,21C,30.2,17.8,0.0,0.0,0.0,0.0,2.3176470588235296,12.862745098039213,0,"로맨스,코메디",0.6375000000000001,2020-03-27
960,그 남자의 기억법,MBC,32,9C,19.4,9.6,10.0,0.0,9.0,0.0,1.873684210526316,12.32456140350877,0,"로맨스,로맨스",3.4799999999999995,2020-03-18
961,메모리스트,tvN,16,9C,18.2,23.2,1.0,12.0,0.0,0.0,1.0607843137254902,10.082352941176469,0,서스펜스,2.85,2020-03-11
962,어서와,KBS2,24,9C,9.4,0.6,10.0,0.0,5.0,2.0,1.4351351351351351,10.78108108108108,0,"판타지,로맨스,코메디",1.6916666666666667,2020-03-25
963,365 : 운명을 거스르는 1년,MBC,24,3C,24.0,11.6,13.0,0.0,0.0,0.0,1.4351351351351351,10.435135135135136,0,"판타지,서스펜스",4.329166666666667,2020-03-23
964,반의반,tvN,12,3C,9.4,18.0,13.0,0.0,0.0,0.0,1.4351351351351351,10.435135135135136,0,로맨스,1.4083333333333332,2020-03-23
965,날씨가 좋으면 찾아가겠어요,JTBC,16,3C,17.2,6.2,5.0,13.0,0.0,0.0,1.73448275862069,8.63448275862069,0,로맨스,2.3,2020-02-24
966,아무도 모른다,SBS,16,3C,10.4,22.0,0.0,0.0,0.0,0.0,1.331372549019608,8.935294117647059,0,"서스펜스,수사물",9.60625,2020-03-02
967,"하이바이, 마마!",tvN,16,24C,21.0,6.2,6.0,0.0,3.0,0.0,1.7534482758620693,8.448275862068966,0,판타지,5.46875,2020-02-22
968,계약우정,KBS2,8,3C,12.0,12.4,0.0,0.0,0.0,0.0,0.6222222222222222,9.799999999999999,0,"로맨스,코메디",2.025,2020-04-06
969,하이에나,SBS,16,21C,22.8,42.2,8.0,1.0,0.0,0.0,1.3098039215686275,7.978431372549019,0,법정,11.1375,2020-02-21
970,본 대로 말하라,OCN,16,24C,30.4,20.8,0.0,0.0,0.0,0.0,1.43921568627451,5.094117647058824,0,서스펜스,2.9,2020-02-01
971,이태원 클라쓰,JTBC,16,21C,10.6,14.2,13.0,0.0,0.0,0.0,1.43921568627451,4.915686274509805,0,드라마,11.837499999999999,2020-01-31
972,포레스트,KBS2,32,9C,18.2,10.0,19.0,2.0,2.0,0.0,1.4627450980392156,4.672549019607844,0,"메디컬,로맨스",4.87,2020-01-29
973,방법,tvN,12,3C,26.0,16.4,3.0,12.0,2.0,19.0,1.9594594594594594,5.497297297297298,0,서스펜스,4.233333333333333,2020-02-10
974,더 게임:0시를 향하여,MBC,32,9C,34.4,12.4,9.0,0.0,3.0,0.0,1.9274509803921565,4.427450980392158,0,수사물,3.45,2020-01-22
975,머니게임,tvN,16,9C,17.2,26.0,16.0,0.0,0.0,0.0,1.6784313725490192,3.676470588235294,0,드라마,1.9812500000000002,2020-01-15
976,낭만닥터 김사부 2,SBS,16,3C,11.6,9.6,16.0,0.0,17.0,0.0,2.6921568627450974,3.2058823529411753,0,"메디컬,로맨스",20.21875,2020-01-06
977,터치,채널A,16,21C,27.4,6.4,0.0,0.0,0.0,0.0,2.1372549019607834,2.9509803921568616,0,"로맨스,코메디",0.7875,2020-01-03
