,드라마 이름,방송사,부작,요일시간,배우_방송,배우_영화,연출_드라마,연출_영화,작가_드라마,작가_영화,강수량,기온,스포츠 대회,장르,평균시청률,start
534,좋은 사람,MBC,122,22A,26.6,6.6,11.0,0.0,0.0,0.0,4.944999999999999,21.951666666666668,1,드라마,11.97,2016-05-02
535,혼술남녀,tvN,16,3C,19.0,8.0,0.0,0.0,17.0,0.0,5.617647058823529,19.107843137254896,0,"로맨스,코메디,음식",3.5625,2016-09-05
536,판타스틱,JTBC,16,21B,23.0,11.6,18.0,0.0,9.0,0.0,6.313725490196078,19.61176470588235,0,드라마,2.35625,2016-09-02
537,구르미 그린 달빛,KBS2,18,3C,18.4,9.2,13.0,0.0,4.0,0.0,6.4603448275862085,20.58793103448276,0,로맨스,18.876470588235293,2016-08-22
538,끝에서 두 번째 사랑,SBS,20,24C,25.6,9.8,12.0,0.0,8.0,0.0,5.18481012658228,22.882278481012655,1,로맨스,8.265,2016-07-30
539,신데렐라와 네 명의 기사,tvN,16,21C,14.0,7.6,0.0,0.0,0.0,0.0,5.196078431372549,23.292156862745095,1,드라마,2.75,2016-08-12
540,임진왜란 1592,KBS1,5,15C,34.6,31.6,7.0,0.0,7.0,0.0,6.723809523809523,21.81904761904762,0,다큐,7.840000000000001,2016-09-03
541,몬스터,MBC,50,3C,26.2,10.4,8.0,0.0,9.0,0.0,4.94180790960452,21.272316384180794,1,"드라마,서스펜스",10.713333333333335,2016-03-28
542,W (더블유),MBC,16,9C,12.4,16.0,5.0,0.0,12.0,0.0,3.2508771929824563,25.884210526315783,1,드라마,11.61875,2016-07-20
543,함부로 애틋하게,KBS2,20,9C,16.6,11.4,14.0,7.0,15.0,0.0,3.7384615384615385,25.92307692307692,1,"가족,로맨스,드라마",9.41,2016-07-06
544,TV소설 내 마음의 꽃비,KBS2,128,22A,9.2,5.8,6.0,1.0,2.0,0.0,4.2602094240837705,19.03193717277487,1,드라마,13.51333333333333,2016-02-29
545,싸우자 귀신아,tvN,16,3C,25.0,17.2,19.0,0.0,4.0,0.0,2.86078431372549,26.47843137254902,1,"서스펜스,코메디",3.39375,2016-07-11
546,굿와이프,tvN,16,21C,13.0,20.2,23.0,0.0,8.0,1.0,2.3549019607843134,26.805882352941182,1,드라마,4.675000000000001,2016-07-08
547,청춘시대,JTBC,12,21B,18.0,7.2,13.0,1.0,9.0,9.0,2.0513513513513515,27.57297297297297,1,드라마,1.3416666666666668,2016-07-22
548,닥터스,SBS,20,3C,26.2,19.2,7.0,0.0,7.0,0.0,5.795384615384616,25.953846153846158,1,"로맨스,메디컬",18.404999999999998,2016-06-20
549,가화만사성,MBC,51,24B,30.6,15.4,14.0,0.0,5.0,0.0,4.036723163841809,18.453672316384186,1,드라마,16.799999999999997,2016-02-27
550,"그래, 그런거야",SBS,54,24B,58.8,33.0,12.0,0.0,34.0,32.0,3.817277486910996,17.265968586387437,1,드라마,8.976666666666667,2016-02-13
551,아이가 다섯,KBS2,54,24B,29.2,8.4,12.0,0.0,13.0,0.0,3.891847826086958,17.820108695652177,1,"가족,로맨스,코메디",27.923333333333336,2016-02-20
552,원티드,SBS,16,9C,18.4,22.2,8.0,0.0,0.0,0.0,6.327586206896552,25.870689655172413,1,"수사물,서스펜스,액션",6.36875,2016-06-22
553,38 사기동대,OCN,16,24C,24.2,20.4,5.0,0.0,6.0,1.0,7.049019607843137,25.013725490196084,1,"수사물,서스펜스,액션",3.3625,2016-06-17
554,뷰티풀 마인드,KBS2,14,3C,20.6,18.6,10.0,0.0,6.0,0.0,8.061363636363636,24.870454545454546,0,메디컬,3.907142857142856,2016-06-20
555,미녀 공심이,SBS,20,24C,24.6,6.4,14.0,0.0,15.0,1.0,5.773846153846153,22.07538461538461,0,로맨스,12.34,2016-05-14
556,마녀보감,JTBC,20,21B,19.8,13.2,8.0,0.0,0.0,0.0,5.7615384615384615,21.972307692307695,0,드라마,2.335,2016-05-13
557,운빨로맨스,MBC,16,9C,17.8,9.4,13.0,0.0,3.0,0.0,6.01764705882353,22.69411764705882,0,드라마,8.15625,2016-05-25
558,디어 마이 프렌즈,tvN,16,21B,53.4,18.8,16.0,0.0,22.0,1.0,3.672549019607843,21.303921568627455,0,드라마,5.075,2016-05-13
559,마스터 - 국수의 신,KBS2,20,9C,21.6,13.0,7.0,0.0,5.0,0.0,2.9769230769230766,20.018461538461548,0,음식,7.325,2016-04-27
560,또 오해영,tvN,18,3C,27.6,11.8,18.0,0.0,4.0,0.0,2.829310344827586,20.32758620689656,0,"로맨스,코메디",6.883333333333334,2016-05-02
561,천상의 약속,KBS2,102,22B,26.4,5.8,14.0,0.0,5.0,0.0,2.8993103448275868,12.370344827586205,0,드라마,18.473333333333333,2016-02-01
562,내 사위의 여자,SBS,120,22B,28.4,5.6,11.0,1.0,0.0,0.0,2.4090361445783137,9.578915662650601,0,드라마,12.249999999999998,2016-01-04
563,딴따라,SBS,18,9C,23.8,5.8,11.0,0.0,4.0,22.0,3.0241379310344825,18.696551724137933,0,드라마,7.73888888888889,2016-04-20
564,대박,SBS,24,3C,25.8,16.2,4.0,0.0,4.0,1.0,3.400000000000001,16.913924050632907,0,사극,9.325000000000001,2016-03-28
565,백희가 돌아왔다,KBS2,4,3C,22.8,12.6,12.0,0.0,5.0,0.0,0.8888888888888888,22.0,0,드라마,9.7,2016-06-06
566,뱀파이어 탐정,OCN,12,13C,21.0,26.0,4.0,5.0,3.0,13.0,3.4358974358974366,16.648717948717948,0,드라마,0.9250000000000002,2016-03-27
567,동네변호사 조들호 1,KBS2,20,3C,29.0,12.8,17.0,0.0,12.0,1.0,3.9492307692307698,15.924615384615382,0,법정,12.875,2016-03-28
568,굿바이 미스터 블랙,MBC,20,9C,18.8,13.0,13.0,0.0,9.0,1.0,3.7846153846153845,13.701538461538458,0,"로맨스,막장",6.5200000000000005,2016-03-16
569,미세스 캅 2,SBS,20,24C,23.8,12.8,16.0,0.0,8.0,0.0,3.718461538461539,11.656923076923077,0,"수사물,서스펜스",8.965,2016-03-05
570,기억,tvN,16,21B,23.2,17.0,10.0,1.0,10.0,0.0,4.041176470588236,12.994117647058824,0,드라마,2.9375,2016-03-18
571,욱씨남정기,JTBC,16,21B,16.4,9.2,14.0,1.0,0.0,0.0,4.041176470588236,12.994117647058824,0,드라마,2.25,2016-03-18
